gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
parameter_id,JAXLA_DXA_009_001
analysis_id,o91016le4h32vor
mouse_life_stage,Early adult
pvalue,0.1152044
parameter_name,Fat/Body weight
mouse_strain,C57BL
