gene_symbol,Pum1
mouse_life_stage,Early adult
pvalue,0.8532795
analysis_id,3x6dmzvu23v0ekv
parameter_id,MGP_PBI_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
parameter_name,CD4+ alpha beta T cell percentage
