analysis_id,f6i8fq0rdcc5935
mouse_strain,129SV
parameter_id,IMPC_GEP_084_001
parameter_name,Limb morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.4632145
