gene_symbol,Dnaaf9
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
parameter_name,Ventral coat/hair presence
pvalue,0.7497494
analysis_id,2pds12b8i51eofu
