parameter_name,Lean mass
pvalue,0.6158352
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,16903o589p3vkj4
gene_symbol,Hrnr
