gene_symbol,Pex19
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
parameter_name,Facial Morphology
analysis_id,zrjxv5j77690f8s
mouse_strain,C57BL
pvalue,0.9055741
