analysis_id,x53sn82vtkr2qv3
gene_accession_id,MGI:1924054
parameter_name,center - resting time
mouse_strain,C57BL
gene_symbol,Kdm4c
pvalue,0.3797221
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
