analysis_id,880k63m03o4j17g
pvalue,0.2002931
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_name,Basophil cell count
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
