analysis_id,a6t726757wtu275
gene_accession_id,MGI:88461
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte percentage
pvalue,0.3203665
