gene_symbol,Car13
parameter_name,Neutrophil differential count
pvalue,0.4717236
gene_accession_id,MGI:1931322
analysis_id,gfk6th39ecjm10y
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
