parameter_id,TCPLA_XRY_033_001
gene_symbol,Nanp
analysis_id,c19ya02fp6l78n0
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Tibia length
pvalue,0.1202862
