gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Global prepulse inhibition
mouse_life_stage,E12.5
analysis_id,1cyq110f7tq3sov
mouse_strain,C57BL
pvalue,0.5184613
parameter_id,ESLIM_011_001_705
