gene_symbol,NIPAL3
parameter_id,IMPC_ACS_034_001
mouse_strain,129SV
pvalue,0.3927278
parameter_name,% Pre-pulse inhibition - PPI2
analysis_id,2u78ykrob9268n7
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
