analysis_id,az54555k65za5h9
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
mouse_strain,C57BL
gene_symbol,Tnfsf10
pvalue,0.4728239
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
