gene_symbol,Il1r1
pvalue,0.6230235
gene_accession_id,MGI:96545
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
parameter_name,Bone Area
analysis_id,x4p9u348567i6v0
