parameter_name,Distance travelled - total
gene_accession_id,MGI:2444554
parameter_id,JAXLA_OFD_020_001
pvalue,1.229018
gene_symbol,Mapkap1
mouse_life_stage,E12.5
analysis_id,7zv6hzx4q9194i5
mouse_strain,C57BL
