parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
mouse_strain,C58BL
gene_symbol,Kdm4c
pvalue,0.2401101
gene_accession_id,MGI:1924054
parameter_id,JAXLA_CSD_023_001
analysis_id,2l2r44d29we3d7y
