gene_symbol,Bdh2
gene_accession_id,MGI:1917022
mouse_strain,C57BL
parameter_name,Chloride
pvalue,0.4380792
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
analysis_id,088cj5dr2468w32
