parameter_name,Radius
analysis_id,5b0731x9m4qrjys
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
pvalue,0.08769514
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
