gene_symbol,Hspa5
gene_accession_id,MGI:95835
pvalue,0.9910459
mouse_life_stage,E12.5
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
analysis_id,x9v8y8637l9spc9
