gene_symbol,Atf3
mouse_life_stage,Early adult
analysis_id,nl233u5y029w7g1
parameter_name,Eye
parameter_id,M-G-P_014_001_001
pvalue,0.1690225
gene_accession_id,MGI:109384
mouse_strain,C57BL
