analysis_id,ehct223y7sz1p06
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
pvalue,0.9938417
gene_symbol,Bmi1
parameter_name,Red blood cell count
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
