parameter_id,JAXLA_DXA_003_001
pvalue,0.9909147
parameter_name,Lean mass
mouse_strain,C57BL
analysis_id,d61937mv9f4399w
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
