parameter_name,Radius
parameter_id,IMPC_XRY_022_001
analysis_id,01q4ql3oq97g2sm
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.2597724
gene_accession_id,MGI:1918764
