mouse_strain,129SV
pvalue,0.1045566
analysis_id,ipb9aj8cj0mq3ku
gene_accession_id,MGI:1925427
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Ninl
mouse_life_stage,Early adult
