parameter_name,Body position
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:3045306
analysis_id,ynkw0s79r9473za
gene_symbol,Exd1
pvalue,0.634236
mouse_life_stage,Early adult
mouse_strain,C57BL
