analysis_id,pt6xc898426u6ri
gene_symbol,Slc30a4
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Late adult
parameter_name,Center average speed
pvalue,0.857732
gene_accession_id,MGI:1345282
mouse_strain,C57BL
