analysis_id,517z751d9936484
mouse_strain,C57BL
gene_symbol,Rhbg
mouse_life_stage,Early adult
pvalue,0.356559
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1927379
parameter_name,Mean cell volume
