parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
analysis_id,528v445jqp18778
gene_symbol,Rhbg
pvalue,0.4275233
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
