parameter_name,Blood Vessel Morphology
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
pvalue,0.2387842
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,72p6egdits5rdhq
