parameter_id,IMPC_HWT_008_001
gene_symbol,Zmynd19
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.4050996
mouse_strain,C57BL
analysis_id,7n5g2nj13anw2fq
gene_accession_id,MGI:1914437
