parameter_id,GMC_906_001_005
gene_symbol,Rab17
pvalue,0.3251107
mouse_strain,C51BL
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
analysis_id,s6j64m8s8nl7vd9
parameter_name,Potassium
