analysis_id,g8zbq39oqhgj47q
parameter_id,IMPC_ACS_033_001
gene_symbol,Rab22a
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.0870529
