gene_symbol,Usp37
parameter_name,Distance travelled - total
pvalue,0.2459352
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
analysis_id,608o9rs0609c7r1
gene_accession_id,MGI:2442483
