gene_symbol,Bach2
analysis_id,uy7ky3b02237623
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.8803195
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
