parameter_name,Eosinophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:1921493
parameter_id,IMPC_HEM_035_001
mouse_life_stage,Early adult
pvalue,0.6816184
analysis_id,g75o8275i21bc18
gene_symbol,Slx4ip
