analysis_id,8oz3s7tv38pv31g
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.2524676
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,MGP_MLN_064_001
mouse_life_stage,Late adult
mouse_strain,C57BL
