parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
analysis_id,6ywxperje0hej53
gene_accession_id,MGI:1336200
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
gene_symbol,Hpca
pvalue,0.7044409
