parameter_name,HR
mouse_strain,C57BL
gene_symbol,Mapkap1
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_id,IMPC_ECG_002_001
pvalue,0.3158252
analysis_id,p632968a22s8f13
