parameter_name,HR
analysis_id,iktbr751898bnxu
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:88328
pvalue,0.1537528
