parameter_name,Neutrophil differential count
gene_symbol,Mecom
mouse_strain,C3H
mouse_life_stage,Early adult
pvalue,0.363674
gene_accession_id,MGI:95457
parameter_id,IMPC_HEM_029_001
analysis_id,py93154qo86r426
