gene_symbol,Mms22l
pvalue,0.7370967
analysis_id,5n0604d3718728t
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:2684980
mouse_strain,129SV
