gene_symbol,Uckl1
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1915806
mouse_strain,C57BL
analysis_id,9hn7q1p1ww242pi
pvalue,0.9123799
parameter_name,Click-evoked ABR threshold
