gene_symbol,Rnd3
parameter_name,Pale yolk sac
analysis_id,92x0p2l4fql26yw
pvalue,0.2580762
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1921444
mouse_life_stage,Early adult
