analysis_id,r87x6h9wyl9v089
gene_symbol,Hpca
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1336200
pvalue,0.7130371
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
mouse_strain,C57BL
