parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
analysis_id,dmcnpa150d42448
pvalue,0.5485084
mouse_strain,C57BL
gene_symbol,Bach2
