analysis_id,83t3379028fvk98
pvalue,0.9185298
mouse_strain,C57BL
parameter_name,Creatinine
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
mouse_life_stage,Early adult
