analysis_id,32f24a76gs85385
pvalue,0.849787
gene_symbol,Mapkap1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
