analysis_id,ie28z4015xm0rrh
gene_symbol,Ola1
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.9299183
mouse_strain,C57BL
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_034_001
