analysis_id,kpuy57d936m4rbl
mouse_life_stage,Early adult
pvalue,0.8874968
gene_symbol,Cds2
mouse_strain,129SV
gene_accession_id,MGI:1332236
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
