gene_symbol,Cd52
pvalue,0.7153058
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
analysis_id,o22ba4ch8m86dst
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
gene_accession_id,MGI:1346088
