gene_symbol,Sprr1b
pvalue,0.682083
mouse_strain,C57BL
analysis_id,5528t76e68kabgg
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
