analysis_id,9ec0i2o386b5j07
gene_symbol,Ncaph
pvalue,0.2598366
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:2444777
parameter_name,Monocytes
mouse_strain,C57BL
