analysis_id,28w2r5uc5qa55k9
mouse_strain,C57BL
pvalue,0.3279251
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_name,NK cell number
