analysis_id,rla727d7q8cvo9h
parameter_id,ESLIM_007_001_009
gene_symbol,Ift74
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_name,Periphery average speed
pvalue,0.4498208
mouse_life_stage,Early adult
