analysis_id,m2hhel9cs9ys6o5
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_id,MGP_IMM_010_001
pvalue,0.2176349
mouse_life_stage,Late adult
