analysis_id,9j5x2968v7zqk6c
parameter_id,MGP_PBI_003_001
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.7054749
gene_symbol,Hspa5
gene_accession_id,MGI:95835
