gene_symbol,Cd52
analysis_id,495u5jl8ge5yc2m
gene_accession_id,MGI:1346088
pvalue,0.0611759
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
