parameter_name,CD8 CD44+CD62L- T cells
analysis_id,89md9oj3h11b5o6
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
parameter_id,IMPC_IMM_032_001
gene_symbol,Kdm4c
pvalue,0.8212483
mouse_strain,C57BL
