analysis_id,l1d14ji667sc3l4
mouse_strain,C57BL
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
pvalue,0.650253
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
