analysis_id,fdxu297qa3140ta
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
parameter_name,Head morphology
mouse_life_stage,Early adult
pvalue,0.5762365
