analysis_id,aa4311054e6s910
gene_symbol,Bach2
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:894679
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0
mouse_life_stage,Early adult
mouse_strain,C57BL
