analysis_id,dhhr8gd411v80b7
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:1913105
parameter_name,center - resting time
pvalue,0.1677912
gene_symbol,Slc28a2
mouse_strain,C57BL
