analysis_id,h71a05pj1j0w244
gene_accession_id,MGI:1924315
parameter_id,IMPC_EYE_092_001
pvalue,0.07103448
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Ints7
mouse_life_stage,E9.5
